GENE_NAME
FOXP3
FOXRED1
FSCN2
FSHR
FUCA1
FUS
FXN
FZD4
G6PC
G6PC3
GAA
GABRG2
GALC
GALE
GALK1
GALNS
GALT
GARS
GATA1
GATA2
GATA4
GATA6
GBA
GBE1
GCGR
GCK
GCSH
GDAP1
GDF1
GDF3
GDF5
GDF6
GDNF
GFAP
GFI1
GHR
GIF
GJB1
GJB2
GJB3
GJB4
GJB6
GJC2
GLA
GLB1
GLDC
GLI2
GLI3
GLIS2
GLRX5
GLUD1
GM2A
GMPS
GNAS
GNAS-AS1
GNAT1
GNB3
GNE
GNPAT
GNS
GOLGA5
GOSR2
GP1BA
GP1BB
GP9
GPC3
GPD1L
GPD2
GPI
GPR143
GPR98
GRHL2
GRHPR
GRK1
GRM6
GRXCR1
GSN
GTF2H5
GUCA1A
GUCY2D
GUSB
GYG1
H19
HABP2
HADH
HAMP
HAX1
HBA1
HBA2
HBB
HCCS
HCN4
HES7
HEXA
HEXB
HFE2
HGD
HGSNAT
HLA-DQA1
HLA-DQB1
HLCS
HMBS
HMCN1
HMGA1
HMMR
HNF1A
HNF1B
HNF4A
HOGA1
HPD
HPGD
HPRT1
HPS1
HR
HSD3B7
HSPB1
HSPB3
HSPB8
HSPD1
HTRA1
HTRA2
HTT
ICOS
IDH2
IDH3B
IDS
IDUA
IFNG
IFT122
IFT80
IGF2BP2
IGHM
IGLL1
IHH
IKBKAP
IKBKG
IL10
IL10RA
IL10RB
IL1B
IL23R
IL2RG
IMPDH1
IMPG2
INF2
INS
INSL3
INSR
INVS
IQCB1
IRF1
IRF4
IRF5
IRF6
IRS1
IRS2
ITGA2B
ITGA7
ITGB2
ITPKC
ITPR1
IVD
JAG1
JAK2
JUP
KARS
KCNA1
KCNA5
KCNC3
KCNE1
KCNE2
KCNE3
KCNH2
KCNJ1
KCNJ11
KCNJ2
KCNJ5
KCNK9
KCNQ1
KCNQ1OT1
KCNQ4
KCTD7
KIAA0196
KIF1B
KIF5A
KIF7
KIT
KLF1
KLF11
KLF6
KLHDC8B
KLHL7
KLK4
KRAS
KRT1
KRT10
KRT13
KRT16
KRT17
KRT4
KRT6A
KRT6B
KRT81
KRT83
KRT86
L2HGDH
LAMA2
LAMP2
LARGE
LBR
LCA5
LCAT
LDB3
LEMD3
LEPRE1
LFNG
LHFPL5
LIG4
LIPC
LIPI
LITAF
LMBR1
LMBRD1
LMNA
LOXHD1
LOXL1
LPL
LPP
LRAT
LRP5
LRRC8A
LRRK2
LRTOMT
LTBP2
LTBP3
LYST
LYZ
LZTS1
MAD1L1
MAMLD1
MAN2B1
MANBA
MAP3K1
MAP3K8
MAPK10
MAPK8IP1
MARVELD2
MC1R
MCCC1
MCCC2
MCM6
MCOLN1
MED25
MEFV
MEN1
MESP2
MFN2
MFSD8
MGAT2
MINPP1
MITF
MKKS
MKS1
MLH1
MLH3
MLLT10
MMAA
MMAB
MMACHC
MMADHC
MMP13
MMP20
MN1
MOGS
MPDU1
MPI
MPL
MPLKIP
MPZ
MS4A1
MSH2
MSH6
MSX1
MSX2
MTMR2
MTTP
MUC5B
MUTYH
MVK
MXI1
MYBPC3
MYC
MYH11
MYH14
MYH3
MYH6
MYH7
MYH9
MYL2
MYL3
MYLK2
MYO15A
MYO3A
MYO6
MYO7A
MYOC
MYOT
NAGLU
NBN
NCF1
NCF2
NCOA4
NCSTN
NDP
NDRG1
NDUFA10
NDUFA12
NDUFA13
NDUFA2
NDUFA9
NDUFAF2
NDUFAF6
NDUFS3
NDUFS4
NDUFS7
NDUFS8
NEFH
NEUROD1
NEXN
NF2
NHLRC1
NIPA1
NKX2-6
NLRP7
NME1
NME8
NOBOX
NOD2
NODAL
NOG
NOTCH1
NOTCH2
NPC1
NPC2
NPHP1
NPHP3
NPHP4
NPM1
NPPA
NPR2
NR0B1
NR0B2
NR2E3
NR4A3
NR5A1
NRAS
NRL
NT5C3A
NUP214
NUP62
NYX
OAS1
OAT
OCA2
OCLN
ODC1
OFD1
OGG1
OPCML
OPN1LW
OPN1MW
OPTN
OSMR
OSTM1
OTC
OTOA
OTOF
OTX2
PABPN1
PADI4
PALB2
PANK2
PARK7
PAX3
PAX4
PAX7
PAX8
PAX9
PC
PCCA
PCCB
PCM1
PDE6B
PDE6C
PDE6G
PDE8B
PDGFRA
PDGFRL
PDHA1
PDX1
PDYN
PDZD7
PEX1
PEX10
PEX13
PEX14
PEX19
PEX2
PEX26
PEX3
PEX5
PFKM
PHB
PHEX
PHF6
PHGDH
PHKA2
PHKB
PHKG2
PHYH
PICALM
PINK1
PITPNM3
PITX2
PKD1
PKD2
PKHD1
PKP2
PLA2G2A
PLA2G6
PLAG1
PLEKHM1
PLOD1
PLP1
PMM2
PMP22
PNKP
PNP
PNPLA6
POLG
POLH
POLR1C
POLR1D
POMT1
POMT2
PORCN
POU3F4
POU4F3
PPARG
PPARGC1B
PPIB
PPOX
PPP1R3A
PPP2R2B
PPT1
PRCC
PRCD
PRF1
PRKAG2
PRKAR1A
PRKCG
PRKCH
PRNP
PROK2
PROKR2
PROM1
PRPF3
PRPF31
PRPF8
PRPH
PRPH2
PRPS1
PRX
PSAT1
PSENEN
PSPH
PTCH1
PTCH2
PTGIS
PTHLH
PTPN1
PTPN22
PTPRJ
PTPRQ
PTRF
PYGM
RAB7A
RAD51
RAD54L
RAX
RAX2
RB1
RBM20
RBM8A
RD3
RDH12
RDH5
RDX
RECQL4
REEP1
REN
RET
RFT1
RFX5
RFXANK
RFXAP
RGR
RHAG
RHO
RLBP1
RMRP
RNASEH2A
RNASEH2B
RNASEH2C
RNF139
RNF6
ROR2
RP1
RP1L1
RP2
RP9
RPE65
RPGR
RPGRIP1
RPL11
RPL35A
RPL5
RPS10
RPS17
RPS19
RPS24
RPS26
RPS7
RSPH4A
RSPH9
RSPO4
RUNX1
RUNX2
RXFP2
RYR1
RYR2
SAG
SAMHD1
SBF2
SCARB2
SCN1B
SCN3B
SCN4B
SCN5A
SCN9A
SCNN1B
SCNN1G
SCO2
SDC3
SDCCAG8
SDHA
SDHB
SDHC
SEC23B
SEMA4A
SEPN1
SERPINA1
SERPINB6
SERPING1
SETX
SFTPA1
SFTPA2
SGCA
SGCB
SGCD
SGCG
SH2B3
SH3BP2
SH3TC2
SHH
SIM1
SIX1
SIX3
SIX5
SLC11A2
SLC12A1
SLC12A3
SLC16A1
SLC16A2
SLC17A5
SLC17A8
SLC19A3
SLC22A18
SLC22A4
SLC22A5
SLC25A15
SLC25A22
SLC25A38
SLC25A4
SLC26A2
SLC26A4
SLC2A10
SLC2A4
SLC30A8
SLC33A1
SLC34A1
SLC34A2
SLC35A1
SLC35C1
SLC37A4
SLC39A4
SLC3A1
SLC40A1
SLC45A2
SLC4A11
SLC52A3
SLC5A2
SLC5A5
SLC6A19
SLC7A9
SMAD9
SMARCB1
SMN1
SMN2
SMPD1
SNAI2
SNCA
SNCB
SNRNP200
SNTA1
SOD1
SOS1
SOX10
SOX2
SOX9
SPATA7
SPG11
SPG20
SPG7
SPINK5
SPTA1
SPTAN1
SPTBN2
SPTLC1
SPTLC2
SQSTM1
SRD5A3
SRY
STAT3
STIL
STK11
STOX1
STRA6
STRC
STX11
STX16
STXBP2
SUFU
SUMF1
SUMO1
SURF1
SYNE2
TAP1
TAP2
TAPBP
TARDBP
TAT
TAZ
TBP
TBX20
TCAP
TCIRG1
TCOF1
TDP1
TECTA
TERC
TF
TFAP2A
TFR2
TGFB3
TGFBR1
TGFBR2
TGIF1
TGM1
THPO
THRB
TLL1
TLR2
TLR4
TMC1
TMC6
TMC8
TMEM43
TMEM67
TMIE
TMPRSS3
TMPRSS6
TNFRSF11A
TNFRSF13B
TNFRSF13C
TNFSF11
TNNC1
TNNI2
TNNI3
TNNT2
TNNT3
TNXB
TOPORS
TP63
TPM1
TPM2
TPO
TPP1
TPRN
TREX1
TRIM24
TRIM33
TRIM37
TRIOBP
TRIP11
TRPS1
TRPV4
TSG101
TTBK2
TTC8
TTR
TUBA1A
TULP1
TWIST1
TYRP1
UBR1
UCHL1
UCP1
UCP3
UGT1A1
UMOD
UNC13D
UPK3A
UROD
UROS
USH1C
USH1G
USH2A
USP9Y
VAPB
VCL
VHL
VSX2
VWF
WAS
WDPCP
WDR35
WDR36
WDR72
WHSC1L1
WNK1
WRN
WT1
WWOX
XPA
XPC
XRCC3
XYLT1
XYLT2
YARS
ZEB1
ZFHX3
ZFPM2
ZFYVE27
ZIC2
ZIC3
ZNF469
ZNF513
ZNF592
